,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
316,OK-03,Frank Lucas,0.0,50.0,Frank Lucas,-27.0,SOLID_REPUBLICAN
163,KS-01,Roger Marshall,0.0,50.0,Roger Marshall,-24.0,SOLID_REPUBLICAN
100,FL-14,Kathy Castor,100.0,50.0,Kathy Castor,7.0,SOLID_DEMOCRATIC
171,KY-05,Harold Rogers,0.0,50.0,Harold Rogers,-31.0,SOLID_REPUBLICAN
173,LA-01,Steve Scalise,0.0,50.0,Steve Scalise,-24.0,SOLID_REPUBLICAN
174,LA-02,Cedric Richmond,100.0,50.0,Cedric Richmond,25.0,SOLID_DEMOCRATIC
47,CA-27,Judy Chu,100.0,50.0,Judy Chu,16.0,SOLID_DEMOCRATIC
178,LA-06,Garrett Graves,0.0,50.0,Garret Graves,-19.0,SOLID_REPUBLICAN
122,GA-09,Doug Collins,0.0,50.0,Doug Collins,-31.0,SOLID_REPUBLICAN
106,FL-20,Alcee L. Hastings,100.0,50.0,Alcee Hastings,31.0,SOLID_DEMOCRATIC
