state,district,name,party,q2_raised,self_fund,self_loan,spent,raised_ctd,coh,self_fund_ctd,transfer,candidate_id,committee_id,incumbant,party_ind,party_dem,party_rep
NH,01,Deaglan McEachern,(D),75,5,0,107,208,67,6,0,H8NH01251,C00665364,FALSE,FALSE,TRUE,FALSE
NH,01,Naomi Andrews,(D),64,0,0,16,64,48,0,0,H8NH01285,C00678532,FALSE,FALSE,TRUE,FALSE
NH,01,Mindi Messmer,(D),38,0,13,49,74,19,0,0,H8NH01202,C00660431,FALSE,FALSE,TRUE,FALSE
NH,01,Lincoln Soldati,(D),32,0,0,66,132,43,0,0,H8NH01178,C00658658,FALSE,FALSE,TRUE,FALSE
NH,01,Mark Mackenzie,(D),18,0,0,25,77,108,0,0,H8NH01228,C00660126,FALSE,FALSE,TRUE,FALSE
NH,01,Levi Sanders,(D),16,0,0,6,11,20,0,0,H8NH01244,C00672113,FALSE,FALSE,TRUE,FALSE
NH,01,Terence O'Rourke,(D),3,0,0,4,14,6,0,0,H8NH01194,C00658344,FALSE,FALSE,TRUE,FALSE
NH,01,Eddie Edwards,(R),207,0,0,151,509,215,0,0,H8NH01152,C00637397,FALSE,FALSE,FALSE,TRUE
NH,01,Bruce Crochetiere,(R),72,254,0,95,72,231,254,0,H8NH01277,C00677666,FALSE,FALSE,FALSE,TRUE
NH,01,Andy Sanborn,(R),66,0,200,47,327,715,0,0,H8NH01160,C00647610,FALSE,FALSE,FALSE,TRUE
NH,02,Annie Kuster,(D-inc),472,0,0,176,2579,2880,0,0,H0NH02181,C00462861,TRUE,FALSE,TRUE,FALSE
NH,02,Lynne Blankenbeker,(R),51,0,0,47,80,41,0,22,H8NH02283,C00665109,FALSE,FALSE,FALSE,TRUE
NH,02,Stewart Levenson,(R),23,100,0,76,145,290,305,0,H8NH02267,C00667436,FALSE,FALSE,FALSE,TRUE
NH,02,Steve Negron,(R),16,12,100,77,45,107,40,0,H8NH02275,C00657981,FALSE,FALSE,FALSE,TRUE
NJ,02,Jeff Van Drew,(D),540,0,0,317,1010,675,0,34,H8NJ02166,C00661868,FALSE,FALSE,TRUE,FALSE
NJ,02,Seth Grossman,(R),74,0,3,28,74,56,0,0,H8NJ02232,C00676726,FALSE,FALSE,FALSE,TRUE
NJ,03,Andy Kim,(D),1027,0,0,169,2042,1671,1,96,H8NJ03206,C00648220,FALSE,FALSE,TRUE,FALSE
NJ,03,Tom MacArthur,(R-inc),575,0,0,654,3484,1003,0,117,H4NJ03130,C00557520,TRUE,FALSE,FALSE,TRUE
NJ,04,Josh Welle,(D),348,0,0,171,618,327,0,0,H8NJ04188,C00658336,FALSE,FALSE,TRUE,FALSE
NJ,04,Chris Smith,(R-inc),250,0,0,95,816,754,0,0,H8NJ04014,C00096412,TRUE,FALSE,FALSE,TRUE
NJ,05,Josh Gottheimer,(D-inc),1473,0,0,205,5054,4534,0,11,H6NJ05171,C00573949,TRUE,FALSE,TRUE,FALSE
NJ,05,John McCann,(R),58,0,204,369,103,6,1,0,H8NJ05136,C00661637,FALSE,FALSE,FALSE,TRUE
NJ,07,Tom Malinowski,(D),1306,0,0,408,2007,1635,0,304,H8NJ07223,C00656686,FALSE,FALSE,TRUE,FALSE
NJ,07,Leonard Lance,(R-inc),431,0,0,125,1532,1151,0,0,H6NJ12136,C00444224,TRUE,FALSE,FALSE,TRUE
NJ,11,Mikie Sherrill,(D),1882,0,0,629,3628,2917,2,387,H8NJ11142,C00640003,FALSE,FALSE,TRUE,FALSE
NJ,11,Jay Webber,(R),339,0,1,389,572,172,0,0,H8NJ11217,C00669069,FALSE,FALSE,FALSE,TRUE
NM,02,Xochitl Torres Small,(D),615,0,0,361,899,496,0,29,H8NM02248,C00666149,FALSE,FALSE,TRUE,FALSE
NM,02,Yvette Herrell,(R),170,0,0,326,506,100,7,0,H8NM02156,C00655571,FALSE,FALSE,FALSE,TRUE
NV,03,Susie Lee,(D),864,4,0,725,1778,1139,6,287,H8NV03200,C00655613,FALSE,FALSE,TRUE,FALSE
NV,03,Danny Tarkanian,(R),298,0,0,221,1276,656,0,0,H8NV03275,C00654095,FALSE,FALSE,FALSE,TRUE
NV,04,Steven Horsford,(D),432,0,0,425,648,198,3,32,H2NV04011,C00668228,FALSE,FALSE,TRUE,FALSE
NV,04,Cresent Hardy,(R),228,0,0,114,420,304,0,0,H8NV04059,C00666461,FALSE,FALSE,FALSE,TRUE
NY,01,Perry Gershon,(D),140,342,300,1772,860,74,433,0,H8NY01155,C00650457,FALSE,FALSE,TRUE,FALSE
NY,01,Lee Zeldin,(R-inc),588,0,0,363,2974,1728,0,8,H8NY01148,C00552547,TRUE,FALSE,FALSE,TRUE
NY,02,Liuba Grechen Shirley,(D),277,0,0,290,603,186,0,0,H8NY02104,C00657015,FALSE,FALSE,TRUE,FALSE
NY,02,Pete King,(R-inc),251,0,0,84,928,3099,0,0,H2NY03089,C00272211,TRUE,FALSE,FALSE,TRUE
NY,11,Max Rose,(D),702,0,0,319,1709,1275,1,85,H8NY11113,C00652248,FALSE,FALSE,TRUE,FALSE
NY,11,Dan Donovan,(R-inc),630,0,0,972,1786,396,0,5,H6NY11174,C00571869,TRUE,FALSE,FALSE,TRUE
NY,18,Sean Patrick Maloney,(D-inc),113,0,0,227,2227,3025,0,0,H2NY22139,C00512426,TRUE,FALSE,TRUE,FALSE
NY,18,James O'Donnell,(R),57,0,0,36,208,222,0,0,NA,NA,FALSE,FALSE,FALSE,TRUE
NY,19,Antonio Delgado,(D),761,0,0,1299,2702,662,0,0,H8NY19181,C00633859,FALSE,FALSE,TRUE,FALSE
NY,19,Diane Neal,(I),NA,NA,NA,NA,NA,NA,NA,NA,H8NY19249,C00668087,FALSE,TRUE,FALSE,FALSE
NY,19,John Faso,(R-inc),651,0,0,376,2056,1262,0,140,H6NY19169,C00580415,TRUE,FALSE,FALSE,TRUE
NY,21,Tedra Cobb,(D),159,0,0,262,448,93,4,0,H8NY21245,C00649061,FALSE,FALSE,TRUE,FALSE
NY,21,Elise Stefanik,(R-inc),536,0,0,250,1740,1588,0,78,H4NY21079,C00547893,TRUE,FALSE,FALSE,TRUE
NY,22,Anthony Brindisi,(D),661,0,0,177,1835,1430,0,40,H8NY22151,C00648725,FALSE,FALSE,TRUE,FALSE
NY,22,Claudia Tenney,(R-inc),504,0,0,209,1598,1027,0,111,H4NY22051,C00632828,TRUE,FALSE,FALSE,TRUE
NY,23,Tracy Mitrano,(D),71,0,0,138,181,8,0,0,H8NY23183,C00654525,FALSE,FALSE,TRUE,FALSE
NY,23,Tom Reed,(R-inc),507,0,0,336,2596,1275,0,3,H0NY29054,C00464032,TRUE,FALSE,FALSE,TRUE
NY,24,Dana Balter,(D),263,0,0,225,456,113,0,0,H8NY24090,C00655183,FALSE,FALSE,TRUE,FALSE
NY,24,John Katko,(R-inc),514,0,0,149,1657,1609,0,214,H4NY24073,C00556365,TRUE,FALSE,FALSE,TRUE
NY,25,Joe Morelle,(D),855,0,0,461,855,394,0,0,H8NY25105,C00675108,FALSE,FALSE,TRUE,FALSE
NY,25,Jim Maxwell,(R),89,0,0,91,225,524,0,0,H8NY25097,C00666164,FALSE,FALSE,FALSE,TRUE
NY,27,Nathan McMurray,(D),92,0,0,47,132,82,0,0,H8NY27176,C00666453,FALSE,FALSE,TRUE,FALSE
NY,27,Chris Collins,(R-inc),198,0,0,117,1098,1342,0,10,H8NY29032,C00520379,TRUE,FALSE,FALSE,TRUE
OH,01,Aftab Pureval,(D),902,3,0,169,1519,1349,3,47,H8OH01118,C00667519,FALSE,FALSE,TRUE,FALSE
OH,01,Steve Chabot,(R-inc),355,0,0,98,760,1594,0,0,H8OH01043,C00301838,TRUE,FALSE,FALSE,TRUE
OH,02,Jill Schiller,(D),172,0,0,144,257,119,1,0,H8OH02124,C00666743,FALSE,FALSE,TRUE,FALSE
OH,02,Brad Wenstrup,(R-inc),280,0,0,83,768,1112,0,51,H2OH02085,C00497818,TRUE,FALSE,FALSE,TRUE
OH,07,Ken Harbaugh,(D),561,0,0,301,1466,977,2,55,H8OH07123,C00646752,FALSE,FALSE,TRUE,FALSE
OH,07,Bob Gibbs,(R-inc),181,0,0,74,750,1474,0,0,H0OH18077,C00466516,TRUE,FALSE,FALSE,TRUE
OH,10,Theresa Gasper,(D),224,0,40,213,378,187,0,0,H8OH10119,C00665471,FALSE,FALSE,TRUE,FALSE
OH,10,Mike Turner,(R-inc),262,0,0,117,924,711,0,0,H2OH03067,C00373001,TRUE,FALSE,FALSE,TRUE
OH,12,Daniel O'Connor,(D),695,0,0,684,858,148,0,0,H8OH12297,C00667964,FALSE,FALSE,TRUE,FALSE
OH,12,Troy Balderson,(R),681,0,0,696,1098,275,0,0,H8OH12180,C00662650,FALSE,FALSE,FALSE,TRUE
OH,14,Elizabeth Rader,(D),348,1,0,117,1001,635,8,0,H8OH14111,C00637967,FALSE,FALSE,TRUE,FALSE
OH,14,David Joyce,(R-inc),441,0,0,146,1571,1068,0,0,H2OH14064,C00527457,TRUE,FALSE,FALSE,TRUE
OH,15,Rick Neal,(D),266,3,250,251,610,503,29,0,H8OH15134,C00652651,FALSE,FALSE,TRUE,FALSE
OH,15,Steve Stivers,(R-inc),503,0,0,283,2126,2426,0,59,H8OH15076,C00441352,TRUE,FALSE,FALSE,TRUE
OH,16,Susan Palmer,(D),22,0,0,30,34,17,1,0,H8OH16157,C00667915,FALSE,FALSE,TRUE,FALSE
OH,16,Anthony Gonzalez,(R),251,0,0,643,1215,307,100,0,H8OH16124,C00654079,FALSE,FALSE,FALSE,TRUE
OK,01,Tim Gilpin,(D),97,0,0,79,110,34,0,0,H8OK01173,C00672931,FALSE,FALSE,TRUE,FALSE
OK,01,Kevin Hern,(R),123,0,400,829,706,752,3,0,H8OK01157,C00636092,FALSE,FALSE,FALSE,TRUE
OK,01,Tim Harris,(R),50,0,0,156,186,24,0,0,H8OK01165,C00637777,FALSE,FALSE,FALSE,TRUE
OK,05,Kendra Horn,(D),130,0,0,225,417,25,0,0,H8OK05109,C00648915,FALSE,FALSE,TRUE,FALSE
OK,05,Steve Russell,(R-inc),213,0,0,87,707,475,0,0,H4OK05132,C00558510,TRUE,FALSE,FALSE,TRUE
PA,01,Scott Wallace,(D),351,0,3934,3276,523,1702,23,0,H8PA08174,C00667097,FALSE,FALSE,TRUE,FALSE
